timestamp,LL,LC,LR,RL,RC,RR
08/09/2022 14:53:08:282754,1906.16,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:286471,1906.16,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:286471,1906.16,1847.51,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:290385,1906.16,1842.62,175.95,29.33,1935.48,2810.36
08/09/2022 14:53:08:294262,1906.16,1847.51,171.07,34.21,1930.60,2805.47
08/09/2022 14:53:08:296268,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:300188,1911.05,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:302246,1911.05,1847.51,171.07,29.33,1935.48,2805.47
08/09/2022 14:53:08:306184,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:307660,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:310646,1906.16,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:313645,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:315550,1911.05,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:319524,1906.16,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:320825,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:323254,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:326781,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:329230,1906.16,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:332702,1911.05,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:334686,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:336804,1911.05,1842.62,175.95,34.21,1935.48,2810.36
08/09/2022 14:53:08:340551,1911.05,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:342621,1906.16,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:346241,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:348267,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:350919,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:354107,1911.05,1847.51,175.95,34.21,1935.48,2815.25
08/09/2022 14:53:08:356086,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:358091,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:360738,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:360738,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:366876,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:367916,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:372373,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:372373,1911.05,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:378109,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:380332,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:380332,1911.05,1847.51,171.07,34.21,1935.48,2815.25
08/09/2022 14:53:08:386709,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:389490,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:392650,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:394519,1911.05,1847.51,166.18,34.21,1935.48,2815.25
08/09/2022 14:53:08:396054,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:400288,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:401475,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:404044,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:408175,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:409172,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:413608,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:415637,1911.05,1847.51,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:419440,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:421472,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:421472,1911.05,1847.51,166.18,29.33,1940.37,2810.36
08/09/2022 14:53:08:424277,1911.05,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:428507,1911.05,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:433040,1911.05,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:435303,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:435303,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:440550,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:442523,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:446277,1911.05,1847.51,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:448357,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:450356,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:453367,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:453367,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:459023,1911.05,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:462356,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:464395,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:465399,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:470178,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:473309,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:475035,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:478336,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:480858,1906.16,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:483175,1906.16,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:486645,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:488770,1911.05,1847.51,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:492777,1911.05,1847.51,171.07,34.21,1930.60,2805.47
08/09/2022 14:53:08:494816,1911.05,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:496207,1911.05,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:500102,1911.05,1852.39,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:502314,1911.05,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:505911,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:508072,1911.05,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:509878,1911.05,1852.39,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:513654,1911.05,1852.39,171.07,34.21,1930.60,2805.47
08/09/2022 14:53:08:515704,1911.05,1847.51,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:519511,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:521328,1911.05,1847.51,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:523215,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:526854,1911.05,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:528092,1911.05,1852.39,171.07,34.21,1930.60,2805.47
08/09/2022 14:53:08:531169,1906.16,1852.39,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:535600,1906.16,1852.39,171.07,29.33,1935.48,2805.47
08/09/2022 14:53:08:535600,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:538006,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:542754,1906.16,1852.39,171.07,29.33,1935.48,2805.47
08/09/2022 14:53:08:546120,1911.05,1842.62,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:547117,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:550767,1906.16,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:553075,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:553075,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:559439,1911.05,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:560436,1911.05,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:565718,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:565718,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:569509,1906.16,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:573532,1911.05,1842.62,175.95,34.21,1935.48,2810.36
08/09/2022 14:53:08:573532,1906.16,1847.51,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:579274,1911.05,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:580887,1906.16,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:584241,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:586774,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:588664,1906.16,1842.62,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:592190,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:594440,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:596467,1906.16,1842.62,171.07,29.33,1935.48,2805.47
08/09/2022 14:53:08:600315,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:602525,1906.16,1842.62,175.95,29.33,1935.48,2805.47
08/09/2022 14:53:08:606322,1906.16,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:607795,1906.16,1847.51,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:610380,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:613614,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:615935,1906.16,1852.39,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:619641,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:621547,1906.16,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:623810,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:627481,1906.16,1847.51,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:629478,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:632788,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:634867,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:636797,1906.16,1847.51,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:640812,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:642628,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:646676,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:648613,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:652597,1906.16,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:653594,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:656458,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:659696,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:661176,1906.16,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:666126,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:668130,1906.16,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:668130,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:673621,1906.16,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:675739,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:679721,1906.16,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:681078,1906.16,1852.39,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:683556,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:687494,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:689520,1906.16,1852.39,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:692733,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:694625,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:698467,1906.16,1847.51,161.29,34.21,1935.48,2805.47
08/09/2022 14:53:08:700642,1901.27,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:702931,1906.16,1847.51,171.07,34.21,1935.48,2800.59
08/09/2022 14:53:08:706463,1906.16,1847.51,166.18,29.33,1935.48,2805.47
08/09/2022 14:53:08:708533,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:710526,1906.16,1852.39,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:713886,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:716204,1901.27,1847.51,166.18,34.21,1930.60,2805.47
08/09/2022 14:53:08:719412,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:721809,1906.16,1842.62,175.95,34.21,1935.48,2805.47
08/09/2022 14:53:08:723809,1901.27,1847.51,166.18,34.21,1935.48,2800.59
08/09/2022 14:53:08:727716,1906.16,1842.62,175.95,34.21,1935.48,2805.47
08/09/2022 14:53:08:729530,1906.16,1847.51,166.18,34.21,1935.48,2805.47
08/09/2022 14:53:08:733485,1906.16,1842.62,175.95,34.21,1930.60,2805.47
08/09/2022 14:53:08:735520,1906.16,1847.51,166.18,34.21,1935.48,2800.59
08/09/2022 14:53:08:739524,1906.16,1847.51,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:741018,1906.16,1842.62,175.95,29.33,1935.48,2805.47
08/09/2022 14:53:08:743277,1906.16,1842.62,171.07,34.21,1935.48,2800.59
08/09/2022 14:53:08:747174,1906.16,1842.62,171.07,34.21,1930.60,2805.47
